80,-343.6308251,92.74950041,-436.3803255,-343.6308251,0,,,,
81,68.29654757,32.5427212,35.75382637,68.29654757,0,,,,
82,-7.002379478,-87.71528823,80.71290876,-7.002379478,0,,,,
83,-30.34176221,222.6018911,-252.9436533,-30.34176221,0,,,,
84,88.32993147,92.68952967,-4.359598201,88.32993147,0,,,,
85,1.086361014,-5.588170685,6.674531699,1.086361014,0,,,,
86,30.62180182,75.25639498,-44.63459316,30.62180182,0,,,,
87,54.72698644,134.7467175,-80.01973109,54.72698644,0,,,,
88,14.75243842,220.0700528,-205.3176144,14.75243842,0,,,,
89,12.99653675,-142.1339567,155.1304934,12.99653675,0,,,,
90,165.2366044,52.99348136,112.243123,165.2366044,0,,,,
91,-39.7959526,-27.24846135,-12.54749125,-39.7959526,0,,,,
92,-62.49660767,167.1252691,-229.6218767,-62.49660767,0,,,,
93,68.10882247,94.94349247,-26.83467,68.10882247,0,,,,
94,-128.6351819,14.40530517,-143.040487,-128.6351819,0,,,,
95,148.547629,34.66479995,113.882829,148.547629,0,,,,
96,180.7461116,310.7354289,-129.9893174,180.7461116,0,,,,
97,-53.52778382,366.5761932,-420.1039771,-53.52778382,0,,,,
98,92.74950041,-317.4304945,410.1799949,92.74950041,0,,,,
99,32.5427212,76.78666875,-44.24394755,32.5427212,0,,,,
100,-87.71528823,13.7644907,-101.4797789,-87.71528823,0,,,,
101,222.6018911,101.1816362,121.4202549,222.6018911,0,,,,
102,92.68952967,90.46877406,2.220755611,92.68952967,0,,,,
103,-5.588170685,20.31993,-25.90810068,-5.588170685,0,,,,
104,75.25639498,16.99497716,58.26141781,75.25639498,0,,,,
105,134.7467175,90.05466466,44.69205287,134.7467175,0,,,,
106,220.0700528,13.54239435,206.5276584,220.0700528,0,,,,
107,-142.1339567,7.963353181,-150.0973099,-142.1339567,0,,,,
108,52.99348136,238.1036496,-185.1101683,52.99348136,0,,,,
109,-27.24846135,238.0818284,-265.3302898,-27.24846135,0,,,,
110,167.1252691,-247.4844258,414.6096949,167.1252691,0,,,,
111,94.94349247,47.78605752,47.15743495,94.94349247,0,,,,
112,14.40530517,18.4187397,-4.01343453,14.40530517,0,,,,
113,34.66479995,73.89276322,-39.22796327,34.66479995,0,,,,
114,310.7354289,134.9197851,175.8156439,310.7354289,0,,,,
115,366.5761932,-27.8912185,394.4674118,366.5761932,0,,,,
116,-317.4304945,87.17891492,-404.6094095,-317.4304945,0,,,,
117,76.78666875,365.9978978,-289.2112291,76.78666875,0,,,,
118,13.7644907,-101.2235054,114.9879961,13.7644907,0,,,,
119,101.1816362,40.19006541,60.99157075,101.1816362,0,,,,
120,90.46877406,93.20000677,-2.731232711,90.46877406,0,,,,
121,20.31993,12.25975863,8.060171367,20.31993,0,,,,
122,16.99497716,-3.545463532,20.5404407,16.99497716,0,,,,
123,90.05466466,86.72909198,3.32557268,90.05466466,0,,,,
124,13.54239435,0.537330989,13.00506337,13.54239435,0,,,,
125,7.963353181,19.27527144,-11.31191825,7.963353181,0,,,,
126,238.1036496,94.12220721,143.9814424,238.1036496,0,,,,
127,238.0818284,-3.951227638,242.0330561,238.0818284,0,,,,
